Matchup,matchupDate,awayTeam,homeTeam,PointsTotal,Spread,favoredTeam,matchupWeek
Miami at Indianapolis,9/7/25,Miami,Indianapolis,46,0,Pick,2
Pittsburgh at NY Jets,9/7/25,Pittsburgh,NY Jets,38,-2.5,Pittsburgh,2
NY Giants at Washington,9/7/25,NY Giants,Washington,45.5,-6,Washington,2
Cincinnati at Cleveland,9/7/25,Cincinnati,Cleveland,47.5,-5,Cincinnati,2
Tampa Bay at Atlanta,9/7/25,Tampa Bay,Atlanta,47,-2,Tampa Bay,2
Las Vegas at New England,9/7/25,Las Vegas,New England,44,-2.5,New England,2
Carolina at Jacksonville,9/7/25,Carolina,Jacksonville,47,-3.5,Jacksonville,2
Arizona at New Orleans,9/7/25,Arizona,New Orleans,43.5,-6.5,Arizona,2
San Francisco at Seattle,9/7/25,San Francisco,Seattle,43.5,-2.5,San Francisco,2
Tennessee at Denver,9/7/25,Tennessee,Denver,42,-9,Denver,2
Detroit at Green Bay,9/7/25,Detroit,Green Bay,47,-2,Green Bay,2
Houston at LA Rams,9/7/25,Houston,LA Rams,44,-3,LA Rams,2
Baltimore at Buffalo,9/7/25,Baltimore,Buffalo,50.5,0,Pick,2
Minnesota at Chicago,9/8/25,Minnesota,Chicago,44,-2,Minnesota,2
